Num_Bands,Bit_Depth,Total_Bits,Original_Max,Optimized_Max,Original_Mean,Optimized_Mean,MSE,Masked_MSE
64,original,252,18.183052726262495,10,13.244844974280868,3.9375,0.0,646.2888725582845
64,24bit,252,18.183052726853838,10,13.244845783632538,3.9375,0.0,646.2888725582845
64,16bit,252,18.18305242469588,10,13.33083041976585,3.9375,0.0,646.2888725582845
128,original,403,18.219641628558023,9,13.196599131905435,3.1484375,0.0,598.1368002813649
128,24bit,403,18.219641625701822,9,13.196605684708352,3.1484375,0.0,598.1368002813649
128,16bit,403,18.21964077349964,9,13.285125409539774,3.1484375,0.0,598.1368002813649
512,original,668,18.654580555847094,8,13.151543947335075,1.3046875,0.0,564.464412668788
512,24bit,668,18.654580549880542,8,13.151546946893214,1.3046875,0.0,564.464412668788
512,16bit,668,18.65457993716884,8,13.241451439086005,1.3046875,0.0,564.464412668788
