frame_index,frequency,threshold
0,0.0,0.0
0,46.875,0.0
0,93.75,0.0
0,140.625,0.0
0,187.5,0.0
0,234.375,0.0
0,281.25,0.0
0,328.125,0.0
0,375.0,0.0
0,421.875,0.0
0,468.75,0.0
0,515.625,-0.3165021953694902
0,562.5,-0.7322907137811088
0,609.375,-1.0900446941285287
0,656.25,-1.4014588300196111
0,703.125,-1.675244033985237
0,750.0,-1.918028611848742
0,796.875,-2.1349500079564248
0,843.75,-2.3300547297471903
0,890.625,-2.5065754976280914
0,937.5,-2.6671275901660025
0,984.375,-2.813850684577987
0,1031.25,-2.948513121846578
0,1078.125,-3.0725897574946632
0,1125.0,-3.1873209154096185
0,1171.875,-3.2937576065933953
0,1218.75,-3.39279661976898
0,1265.625,-3.485208044647646
0,1312.5,-3.5716570725794345
0,1359.375,-3.6527214213238564
0,1406.25,-3.728905379288356
0,1453.125,-3.8006512132848234
0,1500.0,-3.8683485018935846
0,1546.875,-3.9323418232423824
0,1593.75,-3.992937127329862
0,1640.625,-4.050407049230513
0,1687.5,-4.104995363816466
0,1734.375,-4.156920740215719
0,1781.25,-4.206379921660268
0,1828.125,-4.253550431179592
0,1875.0,-4.298592883955083
0,1921.875,-4.341652971737145
0,1968.75,-4.382863172550644
0,2015.625,-4.422344229236069
0,2062.5,-4.460206432635805
0,2109.375,-4.496550739013619
0,2156.25,-4.5314697462670654
0,2203.125,-4.565048549407607
0,2250.0,-4.597365492448972
0,2296.875,-4.628492831109977
0,2343.75,-4.658497318486038
0,2390.625,-4.68744072398095
0,2437.5,-4.7153802942437
0,2484.375,-4.742369163565618
0,2531.25,-4.768456720114228
0,2578.125,-4.793688933474197
0,2625.0,-4.818108648202397
0,2671.875,-4.841755847458871
0,2718.75,-4.864667890228208
0,2765.625,-4.886879725180474
0,2812.5,-4.908424083823701
0,2859.375,-4.9293316552603255
0,2906.25,-4.949631244568517
0,2953.125,-4.9693499165787465
0,3000.0,-4.988513126599839
0,3046.875,-5.0071448394619305
0,3093.75,-5.025267638081919
0,3140.625,-5.042902822616412
0,3187.5,-5.0600705011448355
0,3234.375,-5.076789672718659
0,3281.25,-5.093078303519379
0,3328.125,-5.108953396786225
0,3375.0,-5.124431057102851
0,3421.875,-5.139526549569174
0,3468.75,-5.154254354329064
0,3515.625,-5.168628216875495
