frame_index,critical_band,energy,lower_freq,upper_freq
0,0,-8.461476305478753,0.0,100.0
0,1,3.506393698696994,100.0,125.89254117941672
0,2,8.009819291280937,125.89254117941672,141.25375446227542
0,3,-7.1220699329875785,141.25375446227542,158.48931924611136
0,4,-12.715890834789816,158.48931924611136,177.82794100389228
0,5,-23.758016443799427,177.82794100389228,199.526231496888
0,6,-36.3348735747239,199.526231496888,223.87211385683398
0,7,-37.08656296551173,223.87211385683398,251.188643150958
0,8,-40.437201617846235,251.188643150958,281.83829312644536
0,9,-43.322700554686165,281.83829312644536,316.22776601683796
0,10,-38.79948650271791,316.22776601683796,354.8133892335755
0,11,-38.886505281563586,354.8133892335755,398.1071705534973
0,12,-36.70061844147257,398.1071705534973,446.6835921509632
0,13,-25.68475127349908,446.6835921509632,501.18723362727235
0,14,-27.57036094278217,501.18723362727235,562.3413251903492
0,15,-15.580500418204403,562.3413251903492,630.9573444801933
0,16,-8.891706679416053,630.9573444801933,707.945784384138
0,17,-19.499590010336934,707.945784384138,794.3282347242816
0,18,-33.751433452700475,794.3282347242816,891.2509381337455
0,19,-33.65588002677933,891.2509381337455,1000.0
0,20,-31.536973781836025,1000.0,1011.5794542598987
0,21,-29.283273678243567,1011.5794542598987,1011.5794542598987
0,22,-39.9269913127776,1011.5794542598987,1011.5794542598987
0,23,-80.0,1011.5794542598987,1011.5794542598987
0,24,0.0,1011.5794542598987,12000.0
1,0,-25.906087609646484,0.0,100.0
1,1,3.9045964576817966,100.0,125.89254117941672
1,2,8.263213970064617,125.89254117941672,141.25375446227542
1,3,-11.1533836608202,141.25375446227542,158.48931924611136
1,4,-15.156709555018244,158.48931924611136,177.82794100389228
1,5,-19.345350020168027,177.82794100389228,199.526231496888
1,6,-26.488632565085297,199.526231496888,223.87211385683398
1,7,-30.220146834883074,223.87211385683398,251.188643150958
1,8,-33.806517914340446,251.188643150958,281.83829312644536
1,9,-34.991099811534305,281.83829312644536,316.22776601683796
1,10,-26.881749321804847,316.22776601683796,354.8133892335755
1,11,-26.858096113434687,354.8133892335755,398.1071705534973
1,12,-22.845480072413856,398.1071705534973,446.6835921509632
1,13,-8.619775734270807,446.6835921509632,501.18723362727235
1,14,-12.592432461408139,501.18723362727235,562.3413251903492
1,15,-9.309220098371055,562.3413251903492,630.9573444801933
1,16,-2.3142439180595313,630.9573444801933,707.945784384138
1,17,-23.693145547512753,707.945784384138,794.3282347242816
1,18,-26.85472994494298,794.3282347242816,891.2509381337455
1,19,-24.47747278351066,891.2509381337455,1000.0
1,20,-23.771679370106746,1000.0,1011.5794542598987
1,21,-23.121958906738058,1011.5794542598987,1011.5794542598987
1,22,-32.16746743473734,1011.5794542598987,1011.5794542598987
1,23,-80.0,1011.5794542598987,1011.5794542598987
1,24,0.0,1011.5794542598987,12000.0
2,0,-30.888670142437164,0.0,100.0
2,1,-0.10982569663256385,100.0,125.89254117941672
2,2,4.552153752967741,125.89254117941672,141.25375446227542
2,3,3.5656330710537114,141.25375446227542,158.48931924611136
2,4,-12.320400526097755,158.48931924611136,177.82794100389228
2,5,-20.319855776659573,177.82794100389228,199.526231496888
2,6,-28.291301635924803,199.526231496888,223.87211385683398
2,7,-26.749562940949506,223.87211385683398,251.188643150958
2,8,-27.727301607040864,251.188643150958,281.83829312644536
2,9,-27.631741462775526,281.83829312644536,316.22776601683796
2,10,-20.301029874906927,316.22776601683796,354.8133892335755
2,11,-15.379081308877163,354.8133892335755,398.1071705534973
2,12,-11.382097996629941,398.1071705534973,446.6835921509632
2,13,-8.214162452631182,446.6835921509632,501.18723362727235
2,14,-8.635021392294227,501.18723362727235,562.3413251903492
2,15,-21.01694383683643,562.3413251903492,630.9573444801933
2,16,-8.017692544279187,630.9573444801933,707.945784384138
2,17,-29.790306094983432,707.945784384138,794.3282347242816
2,18,-31.920407579805605,794.3282347242816,891.2509381337455
2,19,-29.61160753107397,891.2509381337455,1000.0
2,20,-28.37695419810685,1000.0,1011.5794542598987
2,21,-24.646030988464265,1011.5794542598987,1011.5794542598987
2,22,-34.68695676637816,1011.5794542598987,1011.5794542598987
2,23,-80.0,1011.5794542598987,1011.5794542598987
2,24,0.0,1011.5794542598987,12000.0
3,0,-39.723270514947075,0.0,100.0
3,1,-2.2552929757843936,100.0,125.89254117941672
3,2,-9.747443676345462,125.89254117941672,141.25375446227542
3,3,5.722659956089446,141.25375446227542,158.48931924611136
3,4,-13.28983852487264,158.48931924611136,177.82794100389228
3,5,-21.17478428281833,177.82794100389228,199.526231496888
3,6,-27.960158934540573,199.526231496888,223.87211385683398
3,7,-26.109610220879752,223.87211385683398,251.188643150958
3,8,-27.027446807973973,251.188643150958,281.83829312644536
3,9,-25.232937379567865,281.83829312644536,316.22776601683796
3,10,-10.638737085453469,316.22776601683796,354.8133892335755
3,11,-16.288657455299134,354.8133892335755,398.1071705534973
3,12,-24.45593609185328,398.1071705534973,446.6835921509632
3,13,-20.93299376415311,446.6835921509632,501.18723362727235
3,14,-15.802096471318832,501.18723362727235,562.3413251903492
3,15,-27.054817396488854,562.3413251903492,630.9573444801933
3,16,-17.807440540041164,630.9573444801933,707.945784384138
3,17,-34.38377551814436,707.945784384138,794.3282347242816
3,18,-43.6914646557762,794.3282347242816,891.2509381337455
3,19,-39.076052600266436,891.2509381337455,1000.0
3,20,-41.84665961556885,1000.0,1011.5794542598987
3,21,-30.977009467512953,1011.5794542598987,1011.5794542598987
3,22,-36.77649380161952,1011.5794542598987,1011.5794542598987
3,23,-80.0,1011.5794542598987,1011.5794542598987
3,24,0.0,1011.5794542598987,12000.0
4,0,-30.782461025346684,0.0,100.0
4,1,3.303953359881357,100.0,125.89254117941672
4,2,5.6403620406596815,125.89254117941672,141.25375446227542
4,3,3.0373892353879066,141.25375446227542,158.48931924611136
4,4,-6.579048181140132,158.48931924611136,177.82794100389228
4,5,-18.0517444370266,177.82794100389228,199.526231496888
4,6,-22.038389266316194,199.526231496888,223.87211385683398
4,7,-22.64601947008872,223.87211385683398,251.188643150958
4,8,-25.313951844607885,251.188643150958,281.83829312644536
4,9,-20.604171512733004,281.83829312644536,316.22776601683796
4,10,-8.1709672341998,316.22776601683796,354.8133892335755
4,11,-12.135107488721662,354.8133892335755,398.1071705534973
4,12,-22.11926026321333,398.1071705534973,446.6835921509632
4,13,-23.099959359923577,446.6835921509632,501.18723362727235
4,14,-11.56827975560321,501.18723362727235,562.3413251903492
4,15,-19.320309777128017,562.3413251903492,630.9573444801933
4,16,-12.827153882856289,630.9573444801933,707.945784384138
4,17,-23.319122934877015,707.945784384138,794.3282347242816
4,18,-21.861924405396124,794.3282347242816,891.2509381337455
4,19,-25.148332740552192,891.2509381337455,1000.0
4,20,-19.134888359892784,1000.0,1011.5794542598987
4,21,-17.01778779388214,1011.5794542598987,1011.5794542598987
4,22,-18.736592820765487,1011.5794542598987,1011.5794542598987
4,23,-79.91437600318746,1011.5794542598987,1011.5794542598987
4,24,0.0,1011.5794542598987,12000.0
5,0,-5.606632695193136,0.0,100.0
5,1,7.675275417366313,100.0,125.89254117941672
5,2,1.744324706955545,125.89254117941672,141.25375446227542
5,3,-4.8479176511960596,141.25375446227542,158.48931924611136
5,4,-10.475186344522598,158.48931924611136,177.82794100389228
5,5,-24.699471219884114,177.82794100389228,199.526231496888
5,6,-20.513170938800044,199.526231496888,223.87211385683398
5,7,-17.680699103367935,223.87211385683398,251.188643150958
5,8,-21.132575370436495,251.188643150958,281.83829312644536
5,9,-19.709012603809633,281.83829312644536,316.22776601683796
5,10,-11.965273690819876,316.22776601683796,354.8133892335755
5,11,-2.401447511407256,354.8133892335755,398.1071705534973
5,12,-8.213168261811663,398.1071705534973,446.6835921509632
5,13,-10.482696191099617,446.6835921509632,501.18723362727235
5,14,-8.748201090957611,501.18723362727235,562.3413251903492
5,15,-3.3678051144119694,562.3413251903492,630.9573444801933
5,16,9.939803451701536,630.9573444801933,707.945784384138
5,17,11.404318326064033,707.945784384138,794.3282347242816
5,18,10.686457639270628,794.3282347242816,891.2509381337455
5,19,8.091548542687498,891.2509381337455,1000.0
5,20,9.622327078287222,1000.0,1011.5794542598987
5,21,13.92630255682597,1011.5794542598987,1011.5794542598987
5,22,8.506165558548362,1011.5794542598987,1011.5794542598987
5,23,-64.75726771159181,1011.5794542598987,1011.5794542598987
5,24,0.0,1011.5794542598987,12000.0
6,0,-29.820490525420517,0.0,100.0
6,1,-29.50817727244331,100.0,125.89254117941672
6,2,-31.339634668346523,125.89254117941672,141.25375446227542
6,3,-28.750290142506802,141.25375446227542,158.48931924611136
6,4,-23.987055612067817,158.48931924611136,177.82794100389228
6,5,-27.568632716292036,177.82794100389228,199.526231496888
6,6,-28.219202724009097,199.526231496888,223.87211385683398
6,7,-25.264540674484145,223.87211385683398,251.188643150958
6,8,-23.625838657756365,251.188643150958,281.83829312644536
6,9,-22.651114896475463,281.83829312644536,316.22776601683796
6,10,-19.91370407502766,316.22776601683796,354.8133892335755
6,11,-10.514379775887392,354.8133892335755,398.1071705534973
6,12,-12.51441692758859,398.1071705534973,446.6835921509632
6,13,-14.699795220495508,446.6835921509632,501.18723362727235
6,14,-11.481366416284962,501.18723362727235,562.3413251903492
6,15,-5.9084373554688066,562.3413251903492,630.9573444801933
6,16,5.814576080705392,630.9573444801933,707.945784384138
6,17,11.300822397922152,707.945784384138,794.3282347242816
6,18,12.609980669866953,794.3282347242816,891.2509381337455
6,19,10.086714806356365,891.2509381337455,1000.0
6,20,13.464931960692134,1000.0,1011.5794542598987
6,21,12.660242738077534,1011.5794542598987,1011.5794542598987
6,22,4.963546047358803,1011.5794542598987,1011.5794542598987
6,23,-69.75152997237782,1011.5794542598987,1011.5794542598987
6,24,0.0,1011.5794542598987,12000.0
7,0,-34.75986480761608,0.0,100.0
7,1,-30.14614767468638,100.0,125.89254117941672
7,2,-29.30843506508692,125.89254117941672,141.25375446227542
7,3,-27.58543579756404,141.25375446227542,158.48931924611136
7,4,-23.625702960629603,158.48931924611136,177.82794100389228
7,5,-26.46122145966055,177.82794100389228,199.526231496888
7,6,-26.188299803153036,199.526231496888,223.87211385683398
7,7,-22.38610629420254,223.87211385683398,251.188643150958
7,8,-21.901517763713212,251.188643150958,281.83829312644536
7,9,-23.600330833573608,281.83829312644536,316.22776601683796
7,10,-18.76895800458991,316.22776601683796,354.8133892335755
7,11,-12.927547089041578,354.8133892335755,398.1071705534973
7,12,-12.545968162425352,398.1071705534973,446.6835921509632
7,13,-13.837881005017437,446.6835921509632,501.18723362727235
7,14,-10.812476170619105,501.18723362727235,562.3413251903492
7,15,-4.8084064398461415,562.3413251903492,630.9573444801933
7,16,5.078222504473818,630.9573444801933,707.945784384138
7,17,9.681923532505998,707.945784384138,794.3282347242816
7,18,14.27760103146936,794.3282347242816,891.2509381337455
7,19,11.519700949654146,891.2509381337455,1000.0
7,20,12.39410146260301,1000.0,1011.5794542598987
7,21,11.458755301227692,1011.5794542598987,1011.5794542598987
7,22,3.119020096651905,1011.5794542598987,1011.5794542598987
7,23,-76.11364983903508,1011.5794542598987,1011.5794542598987
7,24,0.0,1011.5794542598987,12000.0
8,0,-17.950093138176204,0.0,100.0
8,1,6.496698074701909,100.0,125.89254117941672
8,2,0.7815338630768626,125.89254117941672,141.25375446227542
8,3,4.547243462041944,141.25375446227542,158.48931924611136
8,4,9.513440287338572,158.48931924611136,177.82794100389228
8,5,3.4587185394503903,177.82794100389228,199.526231496888
8,6,-0.34832670631655266,199.526231496888,223.87211385683398
8,7,-4.069923902465043,223.87211385683398,251.188643150958
8,8,-3.1984639338287564,251.188643150958,281.83829312644536
8,9,0.5783982967888286,281.83829312644536,316.22776601683796
8,10,-0.2021634144982691,316.22776601683796,354.8133892335755
8,11,-7.17929933500724,354.8133892335755,398.1071705534973
8,12,-13.78702512477598,398.1071705534973,446.6835921509632
8,13,-10.659249093012384,446.6835921509632,501.18723362727235
8,14,-5.708368589398628,501.18723362727235,562.3413251903492
8,15,-15.962485385083607,562.3413251903492,630.9573444801933
8,16,-4.795003994768831,630.9573444801933,707.945784384138
8,17,-4.955295924105636,707.945784384138,794.3282347242816
8,18,-0.5593576455368167,794.3282347242816,891.2509381337455
8,19,-4.178278988008419,891.2509381337455,1000.0
8,20,-2.590298307756187,1000.0,1011.5794542598987
8,21,-4.361449064400729,1011.5794542598987,1011.5794542598987
8,22,-10.240201085796791,1011.5794542598987,1011.5794542598987
8,23,-80.0,1011.5794542598987,1011.5794542598987
8,24,0.0,1011.5794542598987,12000.0
9,0,-18.956363350861814,0.0,100.0
9,1,5.052294267106334,100.0,125.89254117941672
9,2,3.9277853107764282,125.89254117941672,141.25375446227542
9,3,0.35967985320063733,141.25375446227542,158.48931924611136
9,4,6.251935952658526,158.48931924611136,177.82794100389228
9,5,10.213290565365547,177.82794100389228,199.526231496888
9,6,9.920317347005724,199.526231496888,223.87211385683398
9,7,2.0145872154036497,223.87211385683398,251.188643150958
9,8,2.861976315599282,251.188643150958,281.83829312644536
9,9,8.997938441308564,281.83829312644536,316.22776601683796
9,10,11.268015349101855,316.22776601683796,354.8133892335755
9,11,1.8724803631962823,354.8133892335755,398.1071705534973
9,12,-6.44090982560669,398.1071705534973,446.6835921509632
9,13,0.42544415556936993,446.6835921509632,501.18723362727235
9,14,1.1731656469993281,501.18723362727235,562.3413251903492
9,15,-10.076257226587549,562.3413251903492,630.9573444801933
9,16,-7.791895077536118,630.9573444801933,707.945784384138
9,17,-10.515444047839594,707.945784384138,794.3282347242816
9,18,-7.0723123760218565,794.3282347242816,891.2509381337455
9,19,-16.23514748699569,891.2509381337455,1000.0
9,20,-25.366515573512775,1000.0,1011.5794542598987
9,21,-20.004007575657702,1011.5794542598987,1011.5794542598987
9,22,-21.47023572676879,1011.5794542598987,1011.5794542598987
9,23,-79.91082675355352,1011.5794542598987,1011.5794542598987
9,24,0.0,1011.5794542598987,12000.0
10,0,-30.26469161136356,0.0,100.0
10,1,-0.3712419490601742,100.0,125.89254117941672
10,2,0.03509391321656255,125.89254117941672,141.25375446227542
10,3,-10.791698337541813,141.25375446227542,158.48931924611136
10,4,-0.34976401698360554,158.48931924611136,177.82794100389228
10,5,5.88658214007237,177.82794100389228,199.526231496888
10,6,1.551166046719937,199.526231496888,223.87211385683398
10,7,-6.722611570431258,223.87211385683398,251.188643150958
10,8,-8.841749487998324,251.188643150958,281.83829312644536
10,9,-8.773991420631003,281.83829312644536,316.22776601683796
10,10,2.9721769963707634,316.22776601683796,354.8133892335755
