Version,Num Bands,SNR (dB),MSE,Masked MSE,Max Error,Samples Above Threshold (%)
24bit,64,163.65701365256024,2.543679761050329e-21,304.60002448837616,2.934877098292876e-10,93.75
16bit,64,115.63415135288194,1.6134245632138738e-16,304.600024510699,7.321603993546387e-08,93.75
