Version,Num Bands,SNR (dB),MSE,Masked MSE,Max Error,Samples Above Threshold (%)
24bit,128,166.30360494242782,6.889467710781491e-22,152.30001224419985,1.5094344307450824e-10,96.875
16bit,128,118.2835460863437,4.3670840913682526e-17,152.30001225831668,3.786661414051547e-08,96.875
