Version,Num Bands,SNR (dB),MSE,Masked MSE,Max Error,Samples Above Threshold (%)
24bit,512,171.84588752145072,4.72949338126758e-23,38.07500306108355,6.66964779846152e-11,99.21875
16bit,512,123.84508380222368,2.984660884342129e-18,38.07500307315097,1.714878638913028e-08,99.21875
