Metric,Original,Quantized_24bit
peak,0.6756110787391663,0.9999998807907104
rms,0.0862998366355896,0.12773598730564117
crest_factor,7.828648408594412,7.828646428339367
dynamic_range,189.19558715820312,138.4665069580078
mean,-5.64398942515254e-06,-8.354008969035931e-06
std,0.0862998366355896,0.12773598730564117
skewness,1.3572536706924438,1.3572533130645752
kurtosis,6.6368513107299805,6.636849403381348
dominant_frequency,304.6875,304.6875
spectral_centroid,698.0257100530292,698.0256905140349
