frame_index,time_start,rms,peak,energy,zero_crossings,dominant_frequency,spectral_centroid,spectral_spread
73,3.1146666666666665,0.08601631684425427,0.3485069274902344,15.15275625154794,34,199.21875,-0.8560938688311399,2961.7975056361097
74,3.1573333333333333,0.019269941104733474,0.10263123363256454,0.7604851306084286,120,164.0625,-1.0018290054928831,3504.964736021147
75,3.2,0.10712627129389328,0.7122722268104553,23.50292582672962,156,492.1875,-0.40731490839907725,2236.5166788309057
76,3.2426666666666666,0.16413400923883142,0.724586009979248,55.17306468108862,103,117.1875,-0.7029989202929144,2770.554672552454
77,3.2853333333333334,0.16077720559265143,0.724586009979248,52.93938654859613,110,222.65625,-0.19026945071273021,1913.0261313071815
78,3.328,0.10884753564384979,0.622706949710846,24.26426576023378,81,210.9375,-0.9131897003324269,3118.619778866424
79,3.3706666666666667,0.06978570570618747,0.354043573141098,9.973851588424925,141,222.65625,-0.20768662063227938,2439.8750097479365
80,3.4133333333333336,0.09825939799321148,0.39219990372657776,19.773254234088107,184,199.21875,-0.06516340002637348,2415.8102368703776
81,3.456,0.08822997402358887,0.39219990372657776,15.942713991584087,245,187.5,-0.12724774032296346,4199.9303781089375
82,3.498666666666667,0.08434339512294367,0.6014042496681213,14.569079400171518,333,210.9375,-0.2044640970793588,4502.5561942685545
83,3.541333333333333,0.2092586774232985,0.965491533279419,89.6802694695897,204,492.1875,-0.12583923055030544,3339.979067218795
84,3.584,0.23764571890235833,0.965491533279419,115.66179883544314,105,492.1875,-0.11565590266788488,2575.287121035056
85,3.6266666666666665,0.16567714682974818,0.7234335541725159,56.215381978410875,97,480.46875,-0.2597327055540223,2711.1847567672326
86,3.6693333333333333,0.10330212687499005,0.5294986963272095,21.854882645804118,285,339.84375,-0.18593552641202016,3585.0086200379255
87,3.712,0.061560402926120576,0.22842299938201904,7.7612712108570925,577,3539.0625,-0.14979862500533012,4736.232209801067
88,3.7546666666666666,0.08687969498738732,0.44147107005119324,15.458470709455774,491,187.5,-0.16449623510548078,4086.2739120015117
89,3.7973333333333334,0.09703706601968116,0.44147107005119324,19.2843615881379,179,175.78125,-0.2215116328209416,3050.5798934930763
90,3.84,0.08695377828008247,0.3003074526786804,15.484845173108207,39,164.0625,-0.22022886864893834,1929.8886989017444
91,3.8826666666666667,0.06928024469264987,0.25156569480895996,9.829892719971205,376,164.0625,-0.047134060880355565,5384.0208865700015
92,3.925333333333333,0.06084175634193371,0.25156569480895996,7.58112115665148,842,4582.03125,-0.06730659454878254,6187.748458072989
93,3.968,0.050601821150671314,0.21942543983459473,5.243994734109751,952,4593.75,-0.11350166266484202,6252.326547310056
94,4.010666666666666,0.13722933659210343,0.860398530960083,38.567712402450056,571,480.46875,-0.5449670300031345,3128.272811459779
95,4.053333333333334,0.18597748777654838,0.860398530960083,70.83545796541685,168,539.0625,-0.07183689361004879,2239.1945931493
96,4.096,0.1341556440726617,0.6535310745239258,36.85936504125581,106,609.375,-0.55718378116634,2737.6347426960733
97,4.1386666666666665,0.04693646939422591,0.44246676564216614,4.511809862031576,157,550.78125,-0.23145014470249772,3300.441359559065
98,4.181333333333333,0.03064753963101663,0.17017601430416107,1.9236284117703373,640,4664.0625,-0.010516981115350196,6833.423656229587
99,4.224,0.052282557942740775,0.22303570806980133,5.598138091593823,997,4582.03125,-0.12989394273227314,6596.463362908144
100,4.266666666666667,0.12810972234251333,0.8124908804893494,33.611982763368154,594,585.9375,-0.06957906363982179,4236.424590297603
101,4.309333333333333,0.1762129463935946,0.8437215685844421,63.59245307230587,203,585.9375,-0.10620891808149624,2271.1717181335125
102,4.352,0.15849751688091282,0.8437215685844421,51.448755931986426,162,199.21875,-0.05863284587949832,1983.154822701286
103,4.394666666666667,0.12303564204504391,0.7117350697517395,31.00215134911729,171,187.5,-0.09905860976451303,2083.773161500227
104,4.437333333333333,0.09853691092276798,0.6163263320922852,19.885102723484692,145,164.0625,-0.04585965974951005,2153.0945708294894
105,4.48,0.07263873844934123,0.4347938895225525,10.806039190552173,93,152.34375,-0.18532487271570985,2497.4249770495744
106,4.522666666666667,0.04909387960747418,0.23783181607723236,4.936108062542171,374,128.90625,-0.042733798004057494,4404.1166508224205
107,4.565333333333333,0.030265646934367528,0.14823412895202637,1.875987219160659,525,128.90625,-0.6922094701387367,5220.6474982513555
108,4.608,0.04630466204998377,0.18313221633434296,4.3911612980494485,228,128.90625,-0.034844570912593326,3987.1621675637116
109,4.650666666666667,0.04381573241040259,0.18313221633434296,3.9317880968396883,91,468.75,-0.8450879403009951,3183.198072997538
110,4.693333333333333,0.02140455115317095,0.09896454215049744,0.9383010510207217,260,117.1875,-0.011182684742755453,4044.783892088547
111,4.736,0.027949319834874798,0.178436741232872,1.5998248534673936,656,4664.0625,-0.05683834646770718,5912.653811312715
112,4.778666666666667,0.02693661747648379,0.178436741232872,1.4859906274803956,827,4664.0625,-0.007698165435330222,6130.806855495149
113,4.8213333333333335,0.0055659015433521825,0.055190179497003555,0.06344552446011435,633,4523.4375,-0.09369393980209888,5527.658693559197
114,4.864,6.787727986776285e-05,0.0004401212790980935,9.435801850361046e-06,526,0.0,-0.21705223462104134,4709.22121827714
115,4.906666666666666,4.007408088154648e-05,0.00014707125956192613,3.2889486510094935e-06,577,70.3125,-0.2612682064013215,4967.153297130129
116,4.949333333333334,4.146111408677258e-05,0.00014751461276318878,3.52056111373593e-06,563,58.59375,-0.26904170786814735,5144.103857672684
117,4.992,4.139480660384494e-05,0.00014751461276318878,3.5093094682003953e-06,510,58.59375,-0.19200497990710613,5442.713605690056
118,5.034666666666666,4.117653503422703e-05,0.00014686064969282597,3.4723984126462495e-06,510,58.59375,-0.28927823330738084,5332.531378066624
119,5.077333333333334,4.057969084938644e-05,0.00015260872896760702,3.3724647617162806e-06,533,70.3125,-0.22771214509075527,5100.227931841323
120,5.12,3.851237061721787e-05,0.00015260872896760702,3.037599110262674e-06,536,58.59375,-0.5601425700900572,5248.274431033193
121,5.1626666666666665,3.6218587338862466e-05,0.00014255008136387914,2.6865378689491116e-06,577,58.59375,-0.1564964260792943,5334.047864848819
122,5.205333333333333,4.183116370188966e-05,0.0001757921854732558,3.583685133627989e-06,585,58.59375,-0.29672901882199487,5119.80921928369
123,5.248,0.00830224273202296,0.12319011986255646,0.14116297601316466,374,281.25,-2.0319672281148766,4454.566122241425
124,5.290666666666667,0.1253813628568421,0.7810665369033813,32.195555638966475,146,257.8125,-1.1550541576840065,3797.994391134002
125,5.333333333333333,0.24953809315916017,0.9549012184143066,127.52744435201987,93,292.96875,-0.5394992912027204,3004.9349807617773
126,5.376,0.27211556311889873,0.9549012184143066,151.64800960822345,77,304.6875,-0.797687603600664,3313.719496666444
127,5.418666666666667,0.17832167061907372,0.5694944858551025,65.12357009894896,324,304.6875,-0.2190303299106528,4470.95758387455
128,5.461333333333333,0.08118034231601966,0.39788082242012024,13.496827860062478,834,128.90625,-0.07293358648446022,5965.7014719249755
129,5.504,0.06153161227617035,0.24840988218784332,7.754013305456553,748,246.09375,-0.3599631051611486,6098.256333155891
130,5.546666666666667,0.12451622712837589,0.41538092494010925,31.752787595848275,240,257.8125,-0.12781087483719875,3314.675567741083
131,5.589333333333333,0.19659459218293615,0.7853342294692993,79.15404016757756,78,398.4375,-0.18634307939475242,2206.1330772872893
132,5.632,0.2248113332866952,0.8287376761436462,103.5061976558419,159,410.15625,-0.10618618817718008,2421.501818489847
133,5.674666666666667,0.22592684289547166,0.8450088500976562,104.53593772178459,225,820.3125,-0.2662742895798869,2758.016334327997
134,5.717333333333333,0.19540810395674385,0.8450088500976562,78.20150188435377,224,1546.875,-0.0493915061058206,2598.0910507709314
135,5.76,0.11674109186455407,0.6664592623710632,27.91113222088346,134,550.78125,-0.23738857069826047,2641.3646456090305
136,5.802666666666667,0.09872892344136666,0.5193320512771606,19.962675863329256,64,386.71875,-0.7616617127240048,2821.2610466974293
137,5.8453333333333335,0.1900438197259224,0.7702542543411255,73.9669061960067,93,410.15625,-0.7429849972731648,2945.03938918481
138,5.888,0.24124828092174855,0.8449903130531311,119.19510128168736,138,539.0625,-0.16281026015767755,2191.7960335096946
139,5.930666666666666,0.2154210653972363,0.8449903130531311,95.03997013377096,150,527.34375,-0.5891622864699853,2973.804201152186
140,5.973333333333334,0.16115628604064122,0.7160274982452393,53.189321790285774,131,128.90625,-0.2621628270922296,2765.1168847034187
141,6.016,0.14784150388042494,0.5055623650550842,44.76336183219344,89,128.90625,-0.2127714147295695,2600.484461296317
142,6.058666666666666,0.14302349052144442,0.4745989143848419,41.89331218624041,45,128.90625,-0.16980405957795933,2073.6792754507696
143,6.101333333333334,0.10636735291533626,0.37362733483314514,23.171100193209742,200,246.09375,-0.1076733166648739,3531.5619566344644
144,6.144,0.05482974510067481,0.2429158240556717,6.156904341104585,248,187.5,-0.017017957271114974,4160.607861254705
145,6.1866666666666665,0.12169745621106849,0.5058233737945557,30.331434697205623,93,246.09375,-0.4779903834748974,2670.8201794036554
146,6.229333333333333,0.1732245361143334,0.7219414114952087,61.453803339829236,79,246.09375,-0.09994363252859394,1814.347479862453
147,6.272,0.1740400548766316,0.7219414114952087,62.033798556592004,93,503.90625,-0.5673331766394075,2635.487196935866
148,6.314666666666667,0.1211484868057522,0.6137823462486267,30.05840559170256,76,492.1875,-0.04054903624582428,1721.4894779033027
149,6.357333333333333,0.06644794711850116,0.4500282406806946,9.042595176986882,211,128.90625,-0.8284166379212758,3758.7085011576305
150,6.4,0.0931204513486274,0.522955596446991,17.759065004794024,198,117.1875,-0.029931902813922433,3119.0436868746306
151,6.442666666666667,0.0698039491082213,0.522955596446991,9.979067005139248,49,199.21875,-0.35852894414799663,2013.1740720813293
152,6.485333333333333,0.010779626885989615,0.05961916223168373,0.23797832868075558,219,105.46875,-0.342569251326869,3728.4737335080245
153,6.528,0.10772441432642187,0.6506918668746948,23.7661172571558,236,445.3125,-0.6233422403035696,2774.1750586518465
154,6.570666666666667,0.1789201669686439,0.7388582229614258,65.56144875128302,112,445.3125,-0.05264192213785442,1823.0659224230246
155,6.613333333333333,0.2010280793551387,0.7673283219337463,82.76436723551424,141,210.9375,-0.5128514143136683,2615.615775831481
156,6.656,0.18135697742332904,0.7673283219337463,67.3594434767378,183,820.3125,-0.08493786604668284,2140.5065368487276
157,6.698666666666667,0.1468432800321734,0.760010838508606,44.16091932796374,188,187.5,-0.15760512673294313,2207.5781085987255
158,6.741333333333333,0.1280265297813113,0.6449634432792664,33.56834268742654,127,175.78125,-0.3600278840587594,2439.1403970879164
159,6.784,0.12712873731111018,0.49418604373931885,33.09919406144975,108,515.625,-0.0993468724322262,1932.4612708110246
160,6.826666666666667,0.09624010227429172,0.49418604373931885,18.968898121249033,270,515.625,-0.48141157922415134,2625.792542238926
161,6.8693333333333335,0.031282352295480625,0.3553473949432373,2.0041432374037753,674,164.0625,-0.27771059456793445,4052.0953670910176
162,6.912,0.08600673797025822,0.5059657096862793,15.14938158343098,531,503.90625,-0.23408443654931005,2979.4902959872393
163,6.954666666666666,0.09996119607232566,0.5059657096862793,20.464108994989946,90,492.1875,-0.038247167516268644,1813.8266239851944
164,6.997333333333334,0.1356187286091032,0.5852958559989929,37.66771619747756,61,492.1875,-0.6392074112143127,2804.461395164151
165,7.04,0.13268988696245182,0.5852958559989929,36.05832929711767,59,480.46875,-0.06379426845059023,2081.352397406145
166,7.082666666666666,0.05393475984795666,0.2535593509674072,5.95754663906664,38,152.34375,-0.6084653523278533,2584.129217069381
167,7.125333333333334,0.16340641635097938,0.7013816833496094,54.68499334076339,70,503.90625,-0.23569238637123271,2476.679704655615
168,7.168,0.1855361384452166,0.7013816833496094,70.49965295444497,93,503.90625,-0.13993468531083253,2359.2707728733203
169,7.210666666666667,0.09378143035754354,0.6936799883842468,18.012071280449103,155,468.75,-0.4625687271767033,2634.5156749542903
170,7.253333333333333,0.023367097639214296,0.18417888879776,1.1182515242610163,234,386.71875,-0.5473203637975411,3104.2245950075617
171,7.296,0.07401282673522272,0.41416263580322266,11.218736171700426,179,152.34375,-0.22883938295256648,2132.2224941235886
172,7.338666666666667,0.08184886574032339,0.41416263580322266,13.720037013457887,111,152.34375,-0.2119976718303854,2139.5218857112645
173,7.381333333333333,0.04523176218876473,0.26451408863067627,4.190028412315579,98,140.625,-0.28344493637926454,2507.9186514898356
174,7.424,0.01804880548764252,0.08132202178239822,0.6671552092789858,112,128.90625,-0.06016216859559168,2537.3216567133695
175,7.466666666666667,0.005314715464787745,0.03590779006481171,0.05784821856594742,263,128.90625,-0.03784416867063771,3281.4268560981045
176,7.509333333333333,0.002349536826160524,0.018704116344451904,0.011305622113248192,410,1828.125,-0.006576334437950798,4059.945818835243
177,7.552,0.0003420480811987881,0.003515681717544794,0.0002396096304164306,540,1839.84375,-0.0849241573815675,3757.9486779659505
178,7.594666666666667,3.070641704219687e-05,0.0001320439187111333,1.9310265294219645e-06,646,58.59375,-0.03455684752728336,5405.211297504014
179,7.637333333333333,3.2884197396277986e-05,0.00012042030721204355,2.2146466578378254e-06,579,58.59375,-0.5124597370445861,5568.142672464158
180,7.68,3.426720567754729e-05,0.00012042030721204355,2.40484635637213e-06,597,58.59375,-0.44808052415437355,5647.568836209156
181,7.722666666666667,3.138659584247049e-05,0.00012036093539791182,2.017522480288944e-06,680,70.3125,-0.43200998298473814,5706.675253850378
182,7.765333333333333,3.0962199328541295e-05,0.00011108156468253583,1.9633311483091414e-06,649,58.59375,-0.2231947233742198,5557.604752122165
183,7.808,3.2760133472412266e-05,0.0001233025686815381,2.197967554826786e-06,654,70.3125,-0.16411180390506824,5613.835961927177
184,7.850666666666666,3.327853705966534e-05,0.0001233025686815381,2.2680801870469516e-06,635,58.59375,-0.15204219515131856,5646.738800757336
