Num Bands,Version,SNR (dB),MSE,Masked MSE,Samples Above Threshold (%)
64,24bit,163.65701365256024,2.543679761050329e-21,304.60002448837616,93.75
64,16bit,115.63415135288194,1.6134245632138738e-16,304.600024510699,93.75
128,24bit,166.30360494242782,6.889467710781491e-22,152.30001224419985,96.875
128,16bit,118.2835460863437,4.3670840913682526e-17,152.30001225831668,96.875
512,24bit,171.84588752145072,4.72949338126758e-23,38.07500306108355,99.21875
512,16bit,123.84508380222368,2.984660884342129e-18,38.07500307315097,99.21875
